Time,phi,theta,psi
35.607,-0.004563985469946113,0.023076285953874454,0.16695198643208028
35.608,-0.004558782623099252,0.023082222430184984,0.16684907944832392
35.609,-0.004554013318966364,0.023087548212498366,0.16674746738075163
35.61,-0.004549623071911228,0.02309216091681776,0.16664719271265246
35.611,-0.004545554355651009,0.023095963337416592,0.16654828715346123
35.612,-0.00454174714285025,0.023098864351878134,0.16645077142471595
35.613,-0.004538139433054083,0.02310077976648839,0.16635465514585218
35.614,-0.004534667764867203,0.02310163309342106,0.16625993682004786
35.615,-0.004531268870218164,0.02310135602421548,0.16616655367151514
35.616,-0.004527835733693769,0.023099921017688096,0.1660745221299158
35.617,-0.004524304547021528,0.023097277460646826,0.16598380824553788
35.618,-0.004520611836797737,0.02309338478372802,0.1658943678680159
35.619,-0.004516694882452341,0.023088212801206875,0.16580614709668515
35.62,-0.004512492117369689,0.023081741951562984,0.16571908280921552
35.621,-0.004507943515509312,0.02307396343755541,0.16563310326187625
35.622,-0.004502990966090281,0.023064879265706884,0.1655481287542085
35.623,-0.004497578638906492,0.023054502186197423,0.1654640723504511
35.624,-0.004491653342634727,0.02304285553521801,0.16538084064974612
35.625,-0.004485166051194029,0.023029972754239125,0.16529828366834
35.626,-0.0044780886855075135,0.02301599103270724,0.16521633739539007
35.627,-0.004470377254632648,0.02300096062467394,0.16513489407137885
35.628,-0.004461991838682275,0.022984940931573217,0.16505384288050962
35.629,-0.004452896931296528,0.022967999915924464,0.16497307084321783
35.63,-0.004443061775539471,0.0229502134475863,0.16489246370950766
35.631,-0.004432460690252237,0.022931664589612044,0.1648119068460292
35.632,-0.004421073383008894,0.022912442831086732,0.1647312861102617
35.633,-0.004408885245002241,0.02289264327458751,0.1646504887056568
35.634,-0.004395887622494177,0.022872365786013704,0.1645694040121094
35.635,-0.004382078324418578,0.022851714063692352,0.16448791277139785
35.636,-0.004367524374806011,0.022830872848586203,0.16440591975805297
35.637,-0.004352234343769789,0.02280994831738159,0.16432332551336062
35.638,-0.004336223564797191,0.02278904785807434,0.16424003573578858
35.639,-0.004319514192278264,0.02276827914814894,0.1641559619231173
35.64,-0.004302135197806089,0.022747749241000204,0.16407102196681758
35.641,-0.004284122299900724,0.02272756366748596,0.1639851406963833
35.642,-0.004265517822612427,0.022707825559199923,0.16389825037165376
35.643,-0.004246370479442521,0.02268863479969152,0.16381029112144638
35.644,-0.0042267350801603225,0.02267008720951358,0.1637212113270505
35.645,-0.004206671336476863,0.02265227392369984,0.16363100426542987
35.646,-0.004186307205209477,0.022635278469759434,0.16353960660365838
35.647,-0.004165711304716073,0.022619179910730036,0.16344699308383023
35.648,-0.0041449564505059875,0.022604050439067436,0.16335314766468992
35.649,-0.004124118987159778,0.022589954807812784,0.16325806361438475
35.65,-0.004103278058428541,0.02257694982215619,0.16316174354209914
35.651,-0.004082514823131918,0.022565083894381832,0.16306419936789313
35.652,-0.004061911625792478,0.022554396664789644,0.16296545223018216
35.653,-0.004041551132146393,0.022544918690783344,0.16286553233044304
35.654,-0.004021515440679401,0.022536671205920955,0.16276447871492258
35.655,-0.0040018838317244475,0.022529666190792774,0.16266239893087905
35.656,-0.003982741672549129,0.022523827946673514,0.1625593010501096
35.657,-0.003964163467098816,0.022519151642424573,0.1624552485841074
35.658,-0.0039462196157811075,0.02251562280689212,0.16235031240081124
35.659,-0.003928975599797528,0.022513217453176804,0.1622445701997959
